tamanho,algoritmo,tempo(s) real ,tempo (s) sim 1,tempo (s) sim 2,tempo (s) sim 3,tempo (s) sim 4
300000,Bubble Sort,286.10,287.60,285.00,288.40,286.70
300000,Insertion Sort,41.77,41.52,42.19,41.98,41.63
300000,Quick Sort,0.03,0.03,0.03,0.03,0.03
300000,Heap Sort,0.04,0.04,0.04,0.04,0.04
600000,Bubble Sort,"1,139.90","1,137.30","1,143.60","1,141.10","1,138.40"
600000,Insertion Sort,168.90,170.30,169.50,171.20,168.10
600000,Quick Sort,0.07,0.06,0.07,0.07,0.07
600000,Heap Sort,0.09,0.09,0.09,0.09,0.09
900000,Bubble Sort,"2,570.30","2,574.80","2,566.70","2,578.90","2,563.20"
900000,Insertion Sort,385.80,384.20,387.30,386.60,383.90
900000,Quick Sort,0.10,0.10,0.11,0.11,0.10
900000,Heap Sort,0.14,0.15,0.15,0.15,0.14
1200000,Bubble Sort,"4,577.30","4,568.90","4,583.20","4,591.40","4,571.70"
1200000,Insertion Sort,684.60,687.90,682.10,689.30,683.80
1200000,Quick Sort,0.15,0.15,0.15,0.16,0.15
1200000,Heap Sort,0.20,0.20,0.21,0.21,0.20
1500000,Bubble Sort,"7,225.00","7,239.40","7,251.90","7,268.20","7,231.50"
1500000,Insertion Sort,"1,103.00","1,098.80","1,107.20","1,112.60","1,099.90"
1500000,Quick Sort,0.18,0.19,0.19,0.19,0.19
1500000,Heap Sort,0.30,0.30,0.31,0.31,0.30
