Tamanho,Algoritmo,Real,Sim. 1,Sim. 2,Sim. 3,Sim. 4
300k,Bubble Sort,336.00,339.30,342.20,344.90,337.60
,Insertion Sort,44.71,44.93,45.61,46.18,44.39
,Quick Sort,0.04,0.04,0.04,0.04,0.04
,Heap Sort,0.05,0.05,0.05,0.05,0.05
600k,Bubble Sort,"1,331.00","1,324.20","1,344.80","1,351.20","1,318.70"
,Insertion Sort,179.50,181.20,183.90,185.60,178.20
,Quick Sort,0.08,0.08,0.08,0.08,0.08
,Heap Sort,0.12,0.12,0.12,0.12,0.12
900k,Bubble Sort,"3,031.10","3,058.20","3,071.60","3,089.70","3,014.80"
,Insertion Sort,410.30,407.60,415.80,419.40,406.10
,Quick Sort,0.11,0.12,0.12,0.12,0.11
,Heap Sort,0.23,0.23,0.24,0.24,0.23
1200k,Bubble Sort,"5,400.60","5,373.40","5,438.90","5,461.40","5,381.30"
,Insertion Sort,717.90,724.40,731.20,736.90,712.40
,Quick Sort,0.16,0.16,0.17,0.17,0.16
,Heap Sort,0.31,0.31,0.32,0.33,0.31
1500k,Bubble Sort,"8,371.70","8,413.30","8,452.40","8,489.10","8,344.80"
,Insertion Sort,"1,088.70","1,082.30","1,101.40","1,109.30","1,079.80"
,Quick Sort,0.20,0.20,0.21,0.21,0.19
,Heap Sort,0.38,0.39,0.40,0.40,0.38
