tamanho|algoritmo|tempo(s)
300000|Bubble Sort|286.142000
300000|Insertion Sort|41.774000
300000|Quick Sort|0.029000
300000|Heap Sort|0.038000
600000|Bubble Sort|1139.927000
600000|Insertion Sort|168.882000
600000|Quick Sort|0.065000
600000|Heap Sort|0.086000
900000|Bubble Sort|2570.301000
900000|Insertion Sort|385.754000
900000|Quick Sort|0.103000
900000|Heap Sort|0.143000
1200000|Bubble Sort|4577.284000
1200000|Insertion Sort|684.579000
1200000|Quick Sort|0.147000
1200000|Heap Sort|0.202000
1500000|Bubble Sort|7225.017000
1500000|Insertion Sort|1103.000000
1500000|Quick Sort|0.184000
1500000|Heap Sort|0.299000
1500000|Quick Sort|0.202000
1200000|Quick Sort|0.149000
