tamanho|algoritmo|tempo(s)
300000|Bubble Sort|339.689138
300000|Insertion Sort|42.207236
300000|Quick Sort|0.038545
300000|Heap Sort|0.046647
600000|Bubble Sort|1339.834346
600000|Insertion Sort|176.849619
600000|Quick Sort|0.075451
600000|Heap Sort|0.125919
900000|Bubble Sort|3005.703713
900000|Insertion Sort|387.136344
900000|Quick Sort|0.115541
900000|Heap Sort|0.206243
1200000|Bubble Sort|5328.400933
1200000|Insertion Sort|686.842561
1200000|Quick Sort|0.154095
1200000|Heap Sort|0.283325
1500000|Bubble Sort|8331.894524
1500000|Insertion Sort|1081.072673
1500000|Quick Sort|0.194461
1500000|Heap Sort|0.394701
